condition,ablation,seed,impl,n_agents,R_s,volatility_cv,osc_period,end_slope,censored,cap_bound,still_climbing,hazard_beta,hazard_se,cox_age_beta,n_stable_agents,n_stable_deaths,beta_surv,beta_off,interaction,founder_trait,survivor_trait
born_poor,freeze_learning,16,vectorized,10288,465.8,0.05,851,0.246,1,0,29.0,0.025,0.0032,0.0964,10206,9073,32.17829636084247,0.25922301513213764,-108.18546761433436,0.4977,0.753
born_poor,freeze_learning,17,vectorized,9829,429.3,0.0442,713,0.007,0,0,5.9,0.0062,0.0035,0.0107,9741,8534,16.61510138926989,0.22666743239054635,13.923304220817936,0.5202,0.7863
born_poor,freeze_learning,18,vectorized,927,43.1,0.2294,345,0.004,0,0,9.3,-0.0374,0.0202,-0.0285,862,716,42.18569516932734,0.0962497003786619,124.41059914511817,0.4861,0.1744
born_poor,freeze_learning,19,vectorized,75,0,0.0,,0.0,0,0,0,,,,20,5,459.4431381649281,2.253941517447717,-562.1546757261378,0.5457,
born_poor,freeze_traits,0,vectorized,44543,1999.8,0.0009,422,0.008,0,1,-0.4,,,,44279,42292,20.11067745571531,0.7968979464471657,,0.5,0.5
born_poor,freeze_traits,1,vectorized,20695,926.2,0.0322,662,0.033,0,0,41.7,,,,20532,19073,23.999734301314668,1.2192485921702465,,0.5,0.5
born_poor,freeze_traits,2,vectorized,891,56.6,0.4874,550,-0.169,1,0,7.6,,,,837,714,99.79658764314823,-0.6884430352361348,,0.5,0.5
born_poor,freeze_traits,3,vectorized,33858,1922.9,0.0744,418,0.021,0,1,-2.5,,,,33580,31542,33.66719804908595,1.3140111041375837,,0.5,0.5
born_poor,freeze_traits,4,vectorized,12317,522.0,0.0768,839,-0.269,1,0,42.7,,,,12226,11451,16.418206962673402,0.8400742447734793,,0.5,0.5
born_poor,freeze_traits,5,vectorized,30943,1379.0,0.0218,286,0.042,0,0,-45.0,,,,30767,28343,17.57480857794358,0.8421715119870832,,0.5,0.5
born_poor,freeze_traits,6,vectorized,6558,298.9,0.0612,808,0.065,1,0,-31.0,,,,6475,6134,-6.8995643567662786,-0.5570926090596158,,0.5,0.5
born_poor,freeze_traits,7,vectorized,11516,508.0,0.049,795,-0.196,1,0,3.2,,,,11414,10489,33.501417637839914,1.5489067567930488,,0.5,0.5
born_poor,freeze_traits,8,vectorized,11519,498.1,0.0502,319,-0.249,1,0,-16.9,,,,11410,10730,24.936135424225228,0.7970811619792486,,0.5,0.5
born_poor,freeze_traits,9,vectorized,695,36.8,0.2516,370,-0.007,1,0,3.2,,,,640,502,124.58965354564701,-0.18271992606062892,,0.5,0.5
born_poor,freeze_traits,10,vectorized,38809,1708.1,0.0279,876,-0.033,0,0,53.5,,,,38534,36801,19.806080864629966,1.0928215786624136,,0.5,0.5
born_poor,freeze_traits,11,vectorized,12304,532.0,0.0405,360,-0.066,0,0,-16.1,,,,12153,11620,11.483507344657548,0.6401310019620224,,0.5,0.5
born_poor,freeze_traits,12,vectorized,16792,768.9,0.0364,300,-0.027,0,0,-14.7,,,,16648,14627,-18.328858515751545,-0.3893409543423092,,0.5,0.5
born_poor,freeze_traits,13,vectorized,21360,1216.5,0.0292,846,0.307,1,0,4.6,,,,21179,19949,-20.039393804619966,0.26499418873004915,,0.5,0.5
born_poor,freeze_traits,14,vectorized,33015,1611.1,0.157,,-0.339,1,0,280.9,,,,32770,30862,25.4150148893775,1.066701343056469,,0.5,0.5
born_poor,freeze_traits,15,vectorized,40877,1928.8,0.0252,801,0.139,0,1,60.0,,,,40625,37630,17.644741894352546,0.4454620015297377,,0.5,0.5
born_poor,freeze_traits,16,vectorized,11536,511.1,0.0526,796,0.166,1,0,-10.4,,,,11433,10915,31.806956017552025,0.82919239605437,,0.5,0.5
born_poor,freeze_traits,17,vectorized,11952,520.0,0.0312,330,0.056,0,0,-2.5,,,,11840,10956,-33.45162695491074,0.8811732428213328,,0.5,0.5
born_poor,freeze_traits,18,vectorized,2915,210.4,0.1472,644,-0.121,1,0,-50.0,,,,2864,2689,21.563000677275742,-2.167540953740781,,0.5,0.5
born_poor,freeze_traits,19,vectorized,577,23.5,0.2705,516,0.026,1,0,-0.6,,,,524,447,136.14509079828102,3.314664869581673,,0.5,0.5
