i,j,affect_decay,shielding,n,died,rate
8,8,0.00519,0.5615,120,0,0.0000
9,8,0.00565,0.5615,120,0,0.0000
10,8,0.00612,0.5615,120,0,0.0000
11,8,0.00658,0.5615,120,0,0.0000
12,8,0.00704,0.5615,120,0,0.0000
13,8,0.00750,0.5615,120,0,0.0000
0,9,0.00150,0.5092,120,104,0.8667
1,9,0.00196,0.5092,120,81,0.6750
2,9,0.00242,0.5092,120,60,0.5000
3,9,0.00288,0.5092,120,42,0.3500
4,9,0.00335,0.5092,120,20,0.1667
5,9,0.00381,0.5092,120,7,0.0583
6,9,0.00427,0.5092,120,2,0.0167
7,9,0.00473,0.5092,120,1,0.0083
8,9,0.00519,0.5092,120,0,0.0000
9,9,0.00565,0.5092,120,0,0.0000
10,9,0.00612,0.5092,120,0,0.0000
11,9,0.00658,0.5092,120,0,0.0000
12,9,0.00704,0.5092,120,0,0.0000
13,9,0.00750,0.5092,120,0,0.0000
0,10,0.00150,0.4569,120,108,0.9000
1,10,0.00196,0.4569,120,83,0.6917
2,10,0.00242,0.4569,120,56,0.4667
3,10,0.00288,0.4569,120,41,0.3417
4,10,0.00335,0.4569,120,22,0.1833
5,10,0.00381,0.4569,120,10,0.0833
6,10,0.00427,0.4569,120,1,0.0083
7,10,0.00473,0.4569,120,0,0.0000
8,10,0.00519,0.4569,120,0,0.0000
9,10,0.00565,0.4569,120,0,0.0000
10,10,0.00612,0.4569,120,0,0.0000
11,10,0.00658,0.4569,120,0,0.0000
12,10,0.00704,0.4569,120,0,0.0000
13,10,0.00750,0.4569,120,0,0.0000
0,11,0.00150,0.4046,120,102,0.8500
1,11,0.00196,0.4046,120,82,0.6833
2,11,0.00242,0.4046,120,57,0.4750
3,11,0.00288,0.4046,120,41,0.3417
4,11,0.00335,0.4046,120,26,0.2167
5,11,0.00381,0.4046,120,6,0.0500
6,11,0.00427,0.4046,120,5,0.0417
7,11,0.00473,0.4046,120,0,0.0000
8,11,0.00519,0.4046,120,0,0.0000
9,11,0.00565,0.4046,120,0,0.0000
10,11,0.00612,0.4046,120,0,0.0000
11,11,0.00658,0.4046,120,0,0.0000
12,11,0.00704,0.4046,120,0,0.0000
13,11,0.00750,0.4046,120,0,0.0000
0,12,0.00150,0.3523,120,106,0.8833
1,12,0.00196,0.3523,120,75,0.6250
2,12,0.00242,0.3523,120,53,0.4417
3,12,0.00288,0.3523,120,45,0.3750
4,12,0.00335,0.3523,120,20,0.1667
5,12,0.00381,0.3523,120,7,0.0583
6,12,0.00427,0.3523,120,6,0.0500
7,12,0.00473,0.3523,120,0,0.0000
8,12,0.00519,0.3523,120,0,0.0000
9,12,0.00565,0.3523,120,0,0.0000
10,12,0.00612,0.3523,120,0,0.0000
11,12,0.00658,0.3523,120,0,0.0000
12,12,0.00704,0.3523,120,0,0.0000
13,12,0.00750,0.3523,120,0,0.0000
0,13,0.00150,0.3000,120,106,0.8833
1,13,0.00196,0.3000,120,77,0.6417
2,13,0.00242,0.3000,120,50,0.4167
3,13,0.00288,0.3000,120,28,0.2333
4,13,0.00335,0.3000,120,22,0.1833
5,13,0.00381,0.3000,120,15,0.1250
6,13,0.00427,0.3000,120,3,0.0250
7,13,0.00473,0.3000,120,1,0.0083
8,13,0.00519,0.3000,120,0,0.0000
9,13,0.00565,0.3000,120,0,0.0000
10,13,0.00612,0.3000,120,0,0.0000
11,13,0.00658,0.3000,120,0,0.0000
12,13,0.00704,0.3000,120,0,0.0000
13,13,0.00750,0.3000,120,0,0.0000
